book,chapter,expected_verses,actual_verses,match
JOB,28,28,28,True
JOB,29,25,25,True
JOB,30,31,31,True
JOB,31,40,40,True
JOB,32,22,22,True
JOB,33,33,33,True
JOB,34,37,37,True
JOB,35,16,16,True
JOB,36,33,33,True
JOB,37,24,24,True
JOB,38,41,41,True
JOB,39,30,30,True
JOB,40,24,24,True
JOB,41,34,34,True
JOB,42,17,17,True
PSA,1,6,6,True
PSA,2,12,12,True
PSA,3,8,8,True
PSA,4,8,8,True
PSA,5,12,12,True
PSA,6,10,10,True
PSA,7,17,17,True
PSA,8,9,9,True
PSA,9,20,20,True
PSA,10,18,18,True
PSA,11,7,7,True
PSA,12,8,8,True
PSA,13,6,6,True
PSA,14,7,7,True
PSA,15,5,5,True
PSA,16,11,11,True
PSA,17,15,15,True
PSA,18,50,50,True
PSA,19,14,14,True
PSA,20,9,9,True
PSA,21,13,13,True
PSA,22,31,31,True
PSA,23,6,6,True
PSA,24,10,10,True
PSA,25,22,22,True
PSA,26,12,12,True
PSA,27,14,14,True
PSA,28,9,9,True
PSA,29,11,11,True
PSA,30,12,12,True
PSA,31,24,24,True
PSA,32,11,11,True
PSA,33,22,22,True
PSA,34,22,22,True
PSA,35,28,28,True
PSA,36,12,12,True
PSA,37,40,40,True
PSA,38,22,22,True
PSA,39,13,13,True
PSA,40,17,17,True
PSA,41,13,13,True
PSA,42,11,11,True
PSA,43,5,5,True
PSA,44,26,26,True
PSA,45,17,17,True
PSA,46,11,11,True
PSA,47,9,9,True
PSA,48,14,14,True
PSA,49,20,20,True
PSA,50,23,23,True
PSA,51,19,19,True
PSA,52,9,9,True
PSA,53,6,6,True
PSA,54,7,7,True
PSA,55,23,23,True
PSA,56,13,13,True
PSA,57,11,11,True
PSA,58,11,11,True
PSA,59,17,17,True
PSA,60,12,12,True
PSA,61,8,8,True
PSA,62,12,12,True
PSA,63,11,11,True
PSA,64,10,10,True
PSA,65,13,13,True
PSA,66,20,20,True
PSA,67,7,7,True
PSA,68,35,35,True
PSA,69,36,36,True
PSA,70,5,5,True
PSA,71,24,24,True
PSA,72,20,20,True
PSA,73,28,28,True
PSA,74,23,23,True
PSA,75,10,10,True
PSA,76,12,12,True
PSA,77,20,20,True
PSA,78,72,72,True
PSA,79,13,13,True
PSA,80,19,19,True
PSA,81,16,16,True
PSA,82,8,8,True
PSA,83,18,18,True
PSA,84,12,12,True
PSA,85,13,13,True
PSA,86,17,17,True
PSA,87,7,7,True
PSA,88,18,18,True
PSA,89,52,52,True
PSA,90,17,17,True
PSA,91,16,16,True
PSA,92,15,15,True
PSA,93,5,5,True
PSA,94,23,23,True
PSA,95,11,11,True
PSA,96,13,13,True
PSA,97,12,12,True
PSA,98,9,9,True
PSA,99,9,9,True
PSA,100,5,5,True
PSA,101,8,8,True
PSA,102,28,28,True
PSA,103,22,22,True
PSA,104,35,35,True
PSA,105,45,45,True
PSA,106,48,48,True
PSA,107,43,43,True
PSA,108,13,13,True
PSA,109,31,31,True
PSA,110,7,7,True
PSA,111,10,10,True
PSA,112,10,10,True
PSA,113,9,9,True
PSA,114,8,8,True
PSA,115,18,18,True
PSA,116,19,19,True
PSA,117,2,2,True
PSA,118,29,29,True
PSA,119,176,176,True
